UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10007842,University of Cumbria,0,5,0,0,0,5,0,0,0,0,5,10,0,30,5,5,0,0,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,125,235
10001883,De Montfort University,5,10,5,0,0,220,0,0,10,0,10,25,0,40,5,45,0,5,40,20,5,65,5,5,0,15,55,15,10,0,0,0,0,20,10,0,645,"2,820"
10007851,University of Derby,15,10,20,0,5,70,0,20,10,5,0,10,0,20,5,25,0,10,30,25,25,45,5,0,0,25,90,15,100,0,0,0,0,20,5,0,615,"1,225"
10007852,The University of Dundee,10,15,70,0,5,55,0,10,10,10,40,75,0,110,0,75,0,15,120,75,35,55,10,5,0,15,50,15,25,0,15,5,0,55,45,0,"1,025","2,385"
10007143,University of Durham,20,35,25,0,5,50,0,10,15,0,10,135,0,170,10,60,0,50,25,130,20,25,20,5,0,40,20,20,25,0,5,5,0,65,35,0,"1,020","4,790"
10007789,The University of East Anglia,10,35,20,0,5,50,0,10,10,10,15,85,0,80,5,45,0,10,50,70,15,60,15,5,0,25,25,25,40,0,5,0,0,60,10,0,785,"4,025"
10007144,The University of East London,5,5,15,0,0,20,0,5,0,0,5,30,0,40,5,55,0,5,65,45,10,10,5,5,0,10,30,15,25,0,5,0,0,20,15,0,455,"1,285"
10007823,Edge Hill University,0,0,0,0,0,0,0,0,0,0,0,5,0,15,5,0,0,0,65,5,0,5,0,0,0,5,0,0,0,0,0,0,0,10,0,0,125,260
10007772,Edinburgh Napier University,25,10,95,0,5,15,5,30,25,10,35,180,0,435,0,90,0,25,170,120,20,30,15,20,0,20,50,15,25,0,15,0,0,85,45,0,"1,620","2,575"
10007790,The University of Edinburgh,110,135,180,0,25,130,0,55,50,40,70,225,0,460,5,280,0,55,240,305,15,145,45,10,0,160,135,60,100,0,90,25,0,210,145,0,"3,515","10,785"
10007791,The University of Essex,5,20,75,0,10,355,0,15,5,20,10,225,0,65,0,130,0,15,65,100,5,120,10,5,0,20,30,30,270,0,30,0,0,55,20,0,"1,705","4,460"
10008229,EThames Graduate School Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007792,The University of Exeter,25,70,55,0,5,25,0,25,15,10,10,300,0,120,5,55,0,50,45,135,5,35,20,5,0,35,30,40,50,0,15,0,0,115,35,5,"1,330","5,445"
10008640,Falmouth University,0,5,10,0,0,5,0,5,0,0,5,10,0,10,0,5,0,0,5,15,0,5,5,0,0,5,5,5,5,0,0,0,0,5,10,0,120,385
10033187,Fairfield School of Business Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
